sample,label,A1BG,A2BP1,A2M
GSM1424238,0,0.12538625,-4.84E-05,0.05751178
GSM1424239,0,0.045631825,0.073495645,-0.206791
GSM1424240,0,0.14495045,-0.05288497,0.05256464
GSM1424241,0,0.10148365,0.060183635,0.02944928
GSM1424242,0,-0.035528725,0.07659741,-0.1269883
GSM1424243,0,0.075621905,-0.051739934,-0.05010324
GSM1424244,0,0.06524357,-0.03282375,-0.2610831
GSM1424245,0,0.054952895,-0.036256922,0.08202069
GSM1424246,0,0.096100635,0.057464871,-0.007129094
GSM1090501,1,0.054097305,0.04661377,-0.02822959
GSM1090502,1,0.00248456,0.00646935,0.009184075
GSM1090503,0,0.00554594,0.038741845,0.01508313
GSM1090504,0,0.017289281,-0.10365573,0.007225185
GSM1090505,1,-0.092605565,0.075331085,-0.02748478
GSM1090506,1,-0.09556635,-0.32054605,0.1559286
GSM1090507,0,0.00555414,-0.10571826,0.1196274
GSM1090508,1,-0.04225787,-0.7765382,0.3511705
GSM1090509,0,-0.032112955,0.1665019,-0.01150473
GSM1090510,1,-0.090663045,-0.09152997,0.05316428
GSM1090511,1,-0.12845879,-0.2164355,-0.1579901
GSM1090512,1,-0.113770055,-0.021838403,-0.1361758
GSM1090513,1,0.001164895,-0.19107395,-0.02490793
GSM1090514,0,0.003852993,0.13790662,-0.01896173
GSM1090515,1,-0.018614455,-0.4136487,0.2561578
GSM1090516,1,0.121804,-0.2807742,-0.1603409
GSM1090517,1,-0.08147047,0.05422566,-0.1551058
GSM1090518,1,-0.06829078,-0.086235065,0.1225874
